text,predicted_label
Produk standard.,Positif
Kemasan keren.,Positif
Aplikasi ukuran sedang.,Negatif
Fitur mahal tapi jelek.,Negatif
Layanan keren.,Positif
Admin keren.,Positif
Kurir memuaskan.,Positif
Kemasan cepat.,Positif
Produk standard.,Positif
Produk buruk sekali.,Negatif
Produk parah.,Negatif
Fitur sedang dicoba.,Negatif
Kemasan mengecewakan.,Negatif
Fitur rusak.,Negatif
Kurir buruk sekali.,Negatif
Aplikasi mengecewakan.,Negatif
Aplikasi buruk sekali.,Negatif
Fitur buruk sekali.,Negatif
Barang warna putih.,Netral
Layanan cepat.,Positif
Layanan mengecewakan.,Negatif
Admin parah.,Negatif
Admin kasar.,Negatif
Aplikasi standard.,Positif
Aplikasi sangat bagus.,Positif
Barang luar biasa.,Negatif
Kurir biasa saja.,Negatif
Toko memuaskan.,Positif
Makanan biasa saja.,Negatif
Barang mengecewakan.,Negatif
Admin lambat.,Negatif
Makanan memuaskan.,Positif
Layanan warna putih.,Netral
Kemasan kasar.,Negatif
Admin mengecewakan.,Negatif
Toko error.,Negatif
Layanan rusak.,Negatif
Makanan buruk sekali.,Negatif
Toko mahal tapi jelek.,Negatif
Produk sangat bagus.,Positif
Fitur mahal tapi jelek.,Negatif
Aplikasi sedang dicoba.,Negatif
Fitur sedang dicoba.,Negatif
Produk rusak.,Negatif
Makanan cepat.,Positif
Kemasan mahal tapi jelek.,Negatif
Barang keren.,Positif
Kurir sedang dicoba.,Negatif
Kemasan parah.,Negatif
Aplikasi sangat bagus.,Positif
Makanan sangat bagus.,Positif
Kurir buruk sekali.,Negatif
Toko standard.,Positif
Kemasan ukuran sedang.,Netral
Makanan mahal tapi jelek.,Negatif
Fitur sedang dicoba.,Negatif
Produk kasar.,Negatif
Produk luar biasa.,Positif
Barang lambat.,Negatif
Toko rusak.,Negatif
Fitur standard.,Negatif
Admin cepat.,Positif
Makanan cepat.,Positif
Admin keren.,Positif
Admin recomended banget.,Positif
Makanan mantap.,Positif
Kemasan lambat.,Negatif
Toko warna putih.,Negatif
Fitur parah.,Negatif
Kemasan buruk sekali.,Negatif
Aplikasi parah.,Negatif
Aplikasi mantap.,Positif
Aplikasi luar biasa.,Negatif
Aplikasi rusak.,Negatif
Admin kasar.,Negatif
Produk mengecewakan.,Negatif
Kurir standard.,Positif
Barang kasar.,Negatif
Kemasan warna putih.,Positif
Kemasan memuaskan.,Positif
Kurir biasa saja.,Negatif
Barang keren.,Positif
Toko parah.,Negatif
Toko sudah diterima.,Negatif
Kemasan rusak.,Negatif
Layanan standard.,Positif
Kemasan error.,Negatif
Produk warna putih.,Positif
Layanan cepat.,Positif
Layanan lambat.,Negatif
Barang biasa saja.,Negatif
Produk error.,Negatif
Kemasan sangat bagus.,Positif
Kemasan lambat.,Negatif
Admin sedang dicoba.,Negatif
Kurir recomended banget.,Positif
Aplikasi biasa saja.,Negatif
Fitur cepat.,Positif
Barang mahal tapi jelek.,Negatif
Kurir sangat bagus.,Positif
Admin parah.,Negatif
Layanan buruk sekali.,Negatif
Toko memuaskan.,Positif
Toko rusak.,Negatif
Kemasan lambat.,Negatif
Toko memuaskan.,Positif
Produk buruk sekali.,Negatif
Admin cepat.,Positif
Fitur rusak.,Negatif
Toko sedang dicoba.,Negatif
Admin sangat bagus.,Positif
Makanan lambat.,Negatif
Aplikasi rusak.,Negatif
Aplikasi biasa saja.,Negatif
Barang rusak.,Negatif
Admin keren.,Positif
Admin standard.,Negatif
Toko rusak.,Negatif
Kurir mahal tapi jelek.,Negatif
Produk parah.,Negatif
Layanan rusak.,Negatif
Makanan keren.,Positif
Kemasan buruk sekali.,Negatif
Aplikasi warna putih.,Negatif
Kemasan memuaskan.,Positif
Layanan mengecewakan.,Negatif
Produk buruk sekali.,Negatif
Produk kasar.,Negatif
Makanan sangat bagus.,Positif
Barang recomended banget.,Positif
Aplikasi luar biasa.,Negatif
Kemasan mahal tapi jelek.,Negatif
Admin error.,Negatif
Produk buruk sekali.,Negatif
Kemasan buruk sekali.,Negatif
Admin warna putih.,Negatif
Admin ukuran sedang.,Netral
Kurir mengecewakan.,Negatif
