text,label_hasil_prediksi
Produk buruk sekali.,Negatif
Toko mantap.,Positif
Makanan error terus.,Negatif
Toko cepat sekali.,Positif
Aplikasi ramah.,Positif
Layanan biasa saja.,Positif
Aplikasi buruk sekali.,Negatif
Aplikasi mahal tapi jelek.,Negatif
Produk warna putih.,Positif
Kemasan buruk sekali.,Negatif
Makanan sudah diterima.,Negatif
Makanan oke.,Positif
Admin sangat bagus.,Positif
Makanan tidak sesuai.,Negatif
Barang berkualitas tinggi.,Positif
Fitur ramah.,Positif
Kurir warna putih.,Positif
Layanan sedang dicoba.,Positif
Toko tidak sesuai.,Negatif
Aplikasi parah.,Negatif
Produk ramah.,Positif
Makanan sudah diterima.,Negatif
Kemasan sangat bagus.,Positif
Kemasan ramah.,Positif
Toko ramah.,Positif
Kemasan sedang dicoba.,Positif
Admin berkualitas tinggi.,Positif
Toko luar biasa.,Positif
Makanan error terus.,Negatif
Layanan oke.,Positif
Aplikasi mengecewakan.,Negatif
Produk ramah.,Positif
Kurir kasar.,Negatif
Kemasan memuaskan.,Positif
Makanan keren.,Positif
Toko ada di meja.,Positif
Produk informasi lanjut.,Positif
Kurir warna putih.,Positif
Layanan tidak sesuai.,Negatif
Fitur rusak.,Negatif
Admin luar biasa.,Positif
Fitur parah.,Negatif
Admin mantap.,Positif
Barang ukuran sedang.,Positif
Fitur informasi lanjut.,Positif
Fitur rusak.,Negatif
Admin sudah diterima.,Positif
Kemasan tidak sesuai.,Negatif
Toko biasa saja.,Positif
Kemasan kasar.,Negatif
Aplikasi biasa saja.,Positif
Makanan biasa saja.,Positif
Produk kasar.,Negatif
Produk mahal tapi jelek.,Negatif
Kemasan parah.,Negatif
Fitur informasi lanjut.,Positif
Fitur recomended banget.,Positif
Fitur sedang dicoba.,Positif
Aplikasi sampai tadi siang.,Positif
Barang memuaskan.,Positif
Makanan oke.,Positif
Fitur ukuran sedang.,Positif
Fitur lambat.,Negatif
Layanan sedang dicoba.,Positif
Barang tidak sesuai.,Negatif
Kurir ramah.,Positif
Produk recomended banget.,Positif
Aplikasi ramah.,Positif
Fitur sudah diterima.,Positif
Kurir recomended banget.,Positif
Produk biasa saja.,Positif
Makanan informasi lanjut.,Positif
Toko lambat.,Negatif
Admin payah.,Negatif
Kemasan warna putih.,Positif
Barang sangat bagus.,Positif
Makanan mengecewakan.,Negatif
Kemasan luar biasa.,Positif
Admin biasa saja.,Positif
Aplikasi biasa saja.,Positif
Layanan mantap.,Positif
Produk cepat sekali.,Positif
Produk mantap.,Positif
Barang parah.,Negatif
Layanan sedang dicoba.,Positif
Barang payah.,Negatif
Makanan payah.,Negatif
Kemasan oke.,Positif
Toko error terus.,Negatif
Kemasan recomended banget.,Positif
Layanan kasar.,Negatif
Toko luar biasa.,Positif
Kurir error terus.,Negatif
Kemasan keren.,Positif
Toko kasar.,Negatif
Toko mantap.,Positif
Barang sangat bagus.,Positif
Kemasan tidak sesuai.,Negatif
Toko sangat bagus.,Positif
Aplikasi tidak sesuai.,Negatif
Admin lambat.,Negatif
Layanan ukuran sedang.,Positif
Kemasan mantap.,Positif
Layanan ramah.,Positif
Kurir cepat sekali.,Positif
Produk sedang dicoba.,Positif
Admin mengecewakan.,Negatif
Toko tidak sesuai.,Negatif
Toko mahal tapi jelek.,Negatif
Fitur keren.,Positif
Toko parah.,Negatif
Layanan parah.,Negatif
Produk error terus.,Negatif
Layanan luar biasa.,Positif
Layanan parah.,Negatif
Makanan cek dulu.,Positif
